race,sex,age,age_cat,marital_status,custody_status,juv_offense,priors_count,c_charge_degree,days_in_jail_or_prison,decile_score,is_recid,sqrt_age,sqrt_priors_count,sqrt_days_in_jail_or_prison,risk
Other,Male,69,Greater than 45,Single,Jail Inmate,0,0,(F3),1,1,0,8.306623862918075,0,1,Lower
African-American,Male,34,25 - 45,Single,Jail Inmate,0,0,(F3),10,3,1,5.830951894845301,0,3.1622776601683795,Lower
African-American,Male,24,Less than 25,Single,Jail Inmate,1,4,(F3),1,4,1,4.898979485566356,2,1,Lower
Other,Male,44,25 - 45,Separated,Jail Inmate,0,0,(M1),0,1,0,6.6332495807108,0,0,Lower
Caucasian,Male,41,25 - 45,Single,Jail Inmate,0,14,(F3),1071,6,1,6.4031242374328485,3.7416573867739413,32.72613634390714,Higher
Other,Male,43,25 - 45,Married,Jail Inmate,0,3,(F3),1,4,0,6.557438524302,1.7320508075688772,1,Lower
Caucasian,Female,39,25 - 45,Single,Jail Inmate,0,0,(M1),3,1,0,6.244997998398398,0,1.7320508075688772,Lower
Caucasian,Male,20,Less than 25,Single,Jail Inmate,1,0,(F3),33,10,0,4.47213595499958,0,5.744562646538029,Higher
Caucasian,Female,26,25 - 45,Married,Pretrial Defendant,0,0,(F3),1,5,0,5.0990195135927845,0,1,Lower
Caucasian,Male,27,25 - 45,Single,Jail Inmate,0,0,(F3),1,4,0,5.196152422706632,0,1,Lower
African-American,Male,23,Less than 25,Single,Jail Inmate,0,3,(M1),0,6,1,4.795831523312719,1.7320508075688772,0,Higher
Caucasian,Female,37,25 - 45,Married,Jail Inmate,0,0,(M1),0,1,0,6.082762530298219,0,0,Lower
Caucasian,Male,22,Less than 25,Single,Jail Inmate,0,0,(M1),0,3,0,4.69041575982343,0,0,Lower
African-American,Male,41,25 - 45,Single,Jail Inmate,0,0,(F3),1,4,0,6.4031242374328485,0,1,Lower
Caucasian,Female,47,Greater than 45,Single,Pretrial Defendant,0,1,(F3),14,1,1,6.855654600401044,1,3.7416573867739413,Lower
African-American,Male,31,25 - 45,Single,Pretrial Defendant,0,7,(F3),1,3,1,5.5677643628300215,2.6457513110645907,1,Lower
Hispanic,Male,37,25 - 45,Unknown,Jail Inmate,0,0,(M1),0,1,0,6.082762530298219,0,0,Lower
African-American,Male,25,25 - 45,Single,Jail Inmate,0,3,(F3),1,10,0,5,1.7320508075688772,1,Higher
Caucasian,Male,31,25 - 45,Single,Jail Inmate,0,6,(F3),1,5,1,5.5677643628300215,2.449489742783178,1,Lower
Caucasian,Male,31,25 - 45,Single,Jail Inmate,0,5,(F3),1,3,1,5.5677643628300215,2.23606797749979,1,Lower
African-American,Male,64,Greater than 45,Separated,Jail Inmate,0,13,(F3),1,6,1,8,3.605551275463989,1,Higher
African-American,Male,21,Less than 25,Single,Jail Inmate,0,1,(F3),3,9,1,4.58257569495584,1,1.7320508075688772,Higher
Caucasian,Male,27,25 - 45,Single,Jail Inmate,0,0,(M1),0,2,1,5.196152422706632,0,0,Lower
Caucasian,Female,21,Less than 25,Single,Pretrial Defendant,0,0,(F3),1,4,0,4.58257569495584,0,1,Lower
Hispanic,Male,24,Less than 25,Single,Jail Inmate,0,1,(F3),0,4,1,4.898979485566356,1,0,Lower
Caucasian,Male,43,25 - 45,Separated,Jail Inmate,0,1,(M2),1,1,0,6.557438524302,1,1,Lower
Other,Male,32,25 - 45,Single,Jail Inmate,0,0,(M1),2,3,0,5.656854249492381,0,1.4142135623730951,Lower
African-American,Female,54,Greater than 45,Separated,Jail Inmate,0,0,(F3),2394,9,0,7.3484692283495345,0,48.92851929090027,Higher
African-American,Male,44,25 - 45,Significant Other,Jail Inmate,0,8,(M2),538,6,0,6.6332495807108,2.8284271247461903,23.194827009486403,Higher
African-American,Male,27,25 - 45,Single,Jail Inmate,0,8,(F3),17,3,1,5.196152422706632,2.8284271247461903,4.123105625617661,Lower
African-American,Male,26,25 - 45,Single,Jail Inmate,1,5,(F3),1,7,1,5.0990195135927845,2.23606797749979,1,Higher
African-American,Male,33,25 - 45,Single,Jail Inmate,0,0,(F3),0,10,1,5.744562646538029,0,0,Higher
Caucasian,Male,30,25 - 45,Single,Jail Inmate,0,9,(F3),0,9,1,5.477225575051661,3,0,Higher
African-American,Male,32,25 - 45,Single,Jail Inmate,0,4,(F3),1,8,1,5.656854249492381,2,1,Higher
African-American,Male,63,Greater than 45,Single,Jail Inmate,0,0,(M1),2,1,0,7.937253933193772,0,1.4142135623730951,Lower
Hispanic,Male,27,25 - 45,Single,Jail Inmate,0,2,(F3),0,3,0,5.196152422706632,1.4142135623730951,0,Lower
Caucasian,Male,55,Greater than 45,Single,Jail Inmate,0,0,(F3),2,1,0,7.416198487095663,0,1.4142135623730951,Lower
African-American,Male,32,25 - 45,Single,Jail Inmate,0,15,(F3),0,10,0,5.656854249492381,3.872983346207417,0,Higher
African-American,Male,38,25 - 45,Single,Jail Inmate,1,5,(F3),3468,3,0,6.164414002968976,2.23606797749979,58.88972745734183,Lower
Caucasian,Male,53,Greater than 45,Single,Jail Inmate,0,19,(F3),2242,5,0,7.280109889280518,4.358898943540674,47.34976240700686,Lower
Other,Male,49,Greater than 45,Single,Jail Inmate,0,7,(F3),4,3,1,7,2.6457513110645907,2,Lower
Caucasian,Female,33,25 - 45,Single,Jail Inmate,0,4,(M1),11,5,1,5.744562646538029,2,3.3166247903554,Lower
Caucasian,Male,24,Less than 25,Significant Other,Jail Inmate,0,1,(M1),0,2,1,4.898979485566356,1,0,Lower
African-American,Male,34,25 - 45,Single,Jail Inmate,1,21,(F2),1005,9,1,5.830951894845301,4.58257569495584,31.701734968294716,Higher
Caucasian,Male,29,25 - 45,Single,Jail Inmate,0,0,(M1),0,2,0,5.385164807134504,0,0,Lower
African-American,Female,21,Less than 25,Single,Pretrial Defendant,0,2,(F2),100,8,0,4.58257569495584,1.4142135623730951,10,Higher
African-American,Male,51,Greater than 45,Single,Jail Inmate,0,2,(M1),1,1,0,7.14142842854285,1.4142135623730951,1,Lower
Caucasian,Male,29,25 - 45,Married,Jail Inmate,0,2,(M1),1,2,1,5.385164807134504,1.4142135623730951,1,Lower
African-American,Male,25,25 - 45,Single,Jail Inmate,0,0,(F2),272,6,0,5,0,16.492422502470642,Higher
African-American,Female,51,Greater than 45,Separated,Jail Inmate,0,7,(F3),2,2,0,7.14142842854285,2.6457513110645907,1.4142135623730951,Lower
Caucasian,Male,28,25 - 45,Single,Jail Inmate,0,8,(F3),351,7,0,5.291502622129181,2.8284271247461903,18.734993995195193,Higher
African-American,Male,36,25 - 45,Married,Jail Inmate,0,22,(M1),808,9,0,6,4.69041575982343,28.42534080710379,Higher
African-American,Male,29,25 - 45,Single,Jail Inmate,0,0,(F3),0,7,1,5.385164807134504,0,0,Higher
Other,Male,29,25 - 45,Single,Jail Inmate,0,0,(M1),2,1,0,5.385164807134504,0,1.4142135623730951,Lower
Caucasian,Male,25,25 - 45,Single,Jail Inmate,0,9,(M1),356,10,1,5,3,18.867962264113206,Higher
African-American,Male,35,25 - 45,Significant Other,Jail Inmate,1,13,(F3),1,8,1,5.916079783099616,3.605551275463989,1,Higher
Caucasian,Male,49,Greater than 45,Married,Jail Inmate,0,0,(M1),0,1,0,7,0,0,Lower
African-American,Male,29,25 - 45,Significant Other,Jail Inmate,0,0,(F3),0,4,0,5.385164807134504,0,0,Lower
Caucasian,Male,29,25 - 45,Single,Pretrial Defendant,0,1,(F3),0,2,1,5.385164807134504,1,0,Lower
Other,Female,28,25 - 45,Single,Jail Inmate,0,0,(F3),1,2,0,5.291502622129181,0,1,Lower
Caucasian,Male,51,Greater than 45,Single,Jail Inmate,0,0,(F3),25,2,0,7.14142842854285,0,5,Lower
Caucasian,Male,25,25 - 45,Single,Jail Inmate,0,0,(F3),0,3,0,5,0,0,Lower
Caucasian,Male,33,25 - 45,Single,Jail Inmate,0,1,(F3),1664,9,0,5.744562646538029,1,40.792156108742276,Higher
