race,sex,age,age_cat,marital_status,juv_offense,priors_count,is_recid
Other,Male,69,Greater than 45,Single,0,0,0
African-American,Male,34,25 - 45,Single,0,0,1
African-American,Male,24,Less than 25,Single,1,4,1
Other,Male,44,25 - 45,Separated,0,0,0
Caucasian,Male,41,25 - 45,Single,0,14,1
Other,Male,43,25 - 45,Married,0,3,0
Caucasian,Female,39,25 - 45,Single,0,0,0
Caucasian,Male,20,Less than 25,Single,1,0,0
Caucasian,Female,26,25 - 45,Married,0,0,0
Caucasian,Male,27,25 - 45,Single,0,0,0
African-American,Male,23,Less than 25,Single,0,3,1
Caucasian,Female,37,25 - 45,Married,0,0,0
Caucasian,Male,22,Less than 25,Single,0,0,0
African-American,Male,41,25 - 45,Single,0,0,0
Caucasian,Female,47,Greater than 45,Single,0,1,1
African-American,Male,31,25 - 45,Single,0,7,1
Hispanic,Male,37,25 - 45,Unknown,0,0,0
African-American,Male,25,25 - 45,Single,0,3,0
Caucasian,Male,31,25 - 45,Single,0,6,1
Caucasian,Male,31,25 - 45,Single,0,5,1
African-American,Male,64,Greater than 45,Separated,0,13,1
African-American,Male,21,Less than 25,Single,0,1,1
Caucasian,Male,27,25 - 45,Single,0,0,1
Caucasian,Female,21,Less than 25,Single,0,0,0
Hispanic,Male,24,Less than 25,Single,0,1,1
Caucasian,Male,43,25 - 45,Separated,0,1,0
Other,Male,32,25 - 45,Single,0,0,0
African-American,Female,54,Greater than 45,Separated,0,0,0
African-American,Male,44,25 - 45,Significant Other,0,8,0
African-American,Male,27,25 - 45,Single,0,8,1
African-American,Male,26,25 - 45,Single,1,5,1
African-American,Male,33,25 - 45,Single,0,0,1
Caucasian,Male,30,25 - 45,Single,0,9,1
African-American,Male,32,25 - 45,Single,0,4,1
African-American,Male,63,Greater than 45,Single,0,0,0
Hispanic,Male,27,25 - 45,Single,0,2,0
Caucasian,Male,55,Greater than 45,Single,0,0,0
African-American,Male,32,25 - 45,Single,0,15,0
African-American,Male,38,25 - 45,Single,1,5,0
Caucasian,Male,53,Greater than 45,Single,0,19,0
Other,Male,49,Greater than 45,Single,0,7,1
Caucasian,Female,33,25 - 45,Single,0,4,1
Caucasian,Male,24,Less than 25,Significant Other,0,1,1
African-American,Male,34,25 - 45,Single,1,21,1
Caucasian,Male,29,25 - 45,Single,0,0,0
African-American,Female,21,Less than 25,Single,0,2,0
