sample_size,dataset_id,passed_safety_02,passed_safety_01,passed_safety_005,passed_safety_001,sa_02_accuracy,sa_01_accuracy,sa_005_accuracy,sa_001_accuracy,sa_02_disc_stat,sa_01_disc_stat,sa_005_disc_stat,sa_001_disc_stat
1000,25,True,True,True,True,0.642,0.556,0.533,0.543,0.1791,0.0345,0.0184,0.0252
1000,10,True,True,True,True,0.641,0.503,0.503,0.503,0.0995,0.0,0.0,0.0
1000,22,True,True,True,True,0.637,0.52,0.546,0.583,0.0948,0.0355,0.0496,0.0347
2500,17,True,True,True,False,0.7832,0.4844,0.4844,0.4844,0.1428,0.0,0.0,0.0
1000,34,True,True,True,True,0.552,0.493,0.493,0.493,0.0787,0.0,0.0,0.0
1000,38,True,True,True,True,0.618,0.519,0.52,0.519,0.1081,0.0,,0.0
1000,36,True,True,True,True,0.731,0.494,0.491,0.491,0.2299,,0.0,0.0
2500,2,True,True,True,False,0.7604,0.54,0.4844,0.4804,0.1845,0.0544,0.0056,0.0
500,49,True,True,True,True,0.564,0.658,0.648,0.51,0.1285,0.2422,0.2319,0.0759
1000,17,True,True,True,True,0.503,0.504,0.496,0.496,,,0.0,0.0
500,7,True,True,True,True,0.608,0.482,0.756,0.482,0.0106,0.0,0.1304,0.0
1000,41,True,True,True,True,0.513,0.476,0.476,0.476,0.0553,0.0,0.0,0.0
1000,8,True,True,True,True,0.542,0.515,0.515,0.515,0.0761,0.0,0.0,0.0
1000,33,True,True,True,True,0.544,0.504,0.504,0.504,0.0539,0.0,0.0,0.0
2500,39,True,True,True,False,0.76,0.6796,0.5064,0.5064,0.1089,0.1248,0.0,0.0
1000,18,True,True,True,True,0.598,0.512,0.485,0.482,0.1676,0.0709,,0.0
1000,5,True,True,True,True,0.581,0.502,0.5,0.5,0.1644,0.0002,0.0,0.0
1000,45,True,True,True,False,0.665,0.517,0.517,0.517,0.1392,0.0,0.0,0.0
2500,41,True,True,True,True,0.7576,0.6176,0.4976,0.496,0.1984,0.116,0.0031,0.0
1000,3,True,True,True,True,0.532,0.532,0.532,0.532,0.0,0.0,0.0,0.0
1000,48,True,True,True,True,0.574,0.523,0.523,0.523,0.0217,0.0,0.0,0.0
5000,14,True,True,True,False,0.6358,0.742,0.497,0.51,0.071,0.2368,0.0,0.0139
2500,14,True,True,True,False,0.5972,0.5088,0.5088,0.5088,0.0095,0.0,0.0,0.0
2500,18,True,True,True,True,0.7488,0.5428,0.5764,0.5008,0.2245,0.0496,0.072,0.0
5000,27,True,True,True,False,0.7686,0.6788,0.5066,0.4974,0.1858,0.1793,0.0,0.0131
1000,44,True,True,True,True,0.725,0.644,0.499,0.499,0.158,0.099,0.0,0.0
1000,23,True,True,True,True,0.488,0.488,0.488,0.488,0.0,0.0,0.0,0.0
2500,36,True,True,True,True,0.736,0.5152,0.4996,0.4996,0.1965,0.0419,0.0,0.0
500,38,True,True,True,False,0.634,0.5,0.494,0.634,0.0753,,0.0,0.0753
1000,19,True,True,True,True,0.599,0.526,0.648,0.504,0.1533,0.0681,0.2194,0.0
5000,15,True,True,True,False,0.629,0.5062,0.5062,0.5062,0.0417,0.0,0.0,0.0
1000,39,True,True,True,False,0.548,0.512,0.506,0.494,0.0961,0.0172,0.0,0.0
1000,42,True,True,True,True,0.508,0.499,0.499,0.499,0.01,0.0,0.0,0.0
1000,4,True,True,True,True,0.519,0.682,0.519,0.519,0.0,0.204,0.0,0.0
