"","dataset_id","lr_convergence","lr_accuracy","lr_discrimination"
"1",1,1,0.7752,0.2865
"2",2,1,0.7872,0.2626
"3",3,1,0.778,0.2524
"4",4,1,0.78,0.2405
"5",5,1,0.7704,0.2862
"6",6,1,0.7876,0.2378
"7",7,1,0.7804,0.2812
"8",8,1,0.7844,0.2249
"9",9,1,0.772,0.1727
"10",10,1,0.782,0.2958
"11",11,1,0.7712,0.2837
"12",12,1,0.7728,0.2119
"13",13,1,0.7776,0.2535
"14",14,1,0.7632,0.2432
"15",15,1,0.7824,0.2081
"16",16,1,0.7784,0.2416
"17",17,1,0.7796,0.2311
"18",18,1,0.774,0.297
"19",19,1,0.7696,0.2359
"20",20,1,0.786,0.2352
"21",21,1,0.7756,0.2435
"22",22,1,0.7876,0.2517
"23",23,1,0.7828,0.2385
"24",24,1,0.7712,0.1821
"25",25,1,0.7728,0.2173
"26",26,1,0.7768,0.2414
"27",27,1,0.7604,0.3191
"28",28,1,0.79,0.2251
"29",29,1,0.7656,0.2568
"30",30,1,0.7856,0.22
"31",31,1,0.7684,0.2771
"32",32,1,0.7724,0.2601
"33",33,1,0.7768,0.2285
"34",34,1,0.7852,0.2198
"35",35,1,0.7772,0.2587
"36",36,1,0.7672,0.2659
"37",37,1,0.7968,0.2646
"38",38,1,0.7896,0.2477
"39",39,1,0.7804,0.2264
"40",40,1,0.7908,0.3004
"41",41,1,0.7808,0.2119
"42",42,1,0.788,0.1628
"43",43,1,0.7784,0.1976
"44",44,1,0.782,0.256
"45",45,1,0.7764,0.2019
"46",46,1,0.7856,0.2146
"47",47,1,0.7788,0.2136
"48",48,1,0.7856,0.229
"49",49,1,0.7828,0.2605
"50",50,1,0.8,0.2536
"51",51,1,0.7976,0.2453
"52",52,1,0.776,0.3293
"53",53,1,0.7672,0.2122
"54",54,1,0.78,0.251
"55",55,1,0.7804,0.271
"56",56,1,0.7768,0.2005
"57",57,1,0.7784,0.2549
"58",58,1,0.7728,0.2603
"59",59,1,0.7836,0.2323
"60",60,1,0.7764,0.1931
"61",61,1,0.7796,0.2415
"62",62,1,0.7816,0.2514
"63",63,1,0.7656,0.2488
"64",64,1,0.7892,0.1818
"65",65,1,0.7736,0.3457
"66",66,1,0.794,0.2366
"67",67,1,0.7876,0.2473
"68",68,1,0.7768,0.216
"69",69,1,0.7872,0.2523
"70",70,1,0.7844,0.2333
"71",71,1,0.778,0.2516
"72",72,1,0.7832,0.2454
"73",73,1,0.7848,0.2741
"74",74,1,0.7796,0.2647
"75",75,1,0.7812,0.205
"76",76,1,0.7812,0.2184
"77",77,1,0.7808,0.2472
"78",78,1,0.772,0.2192
"79",79,1,0.7688,0.2821
"80",80,1,0.8012,0.2078
"81",81,1,0.7764,0.2367
"82",82,1,0.7844,0.2107
"83",83,1,0.7808,0.2649
"84",84,1,0.7988,0.1947
"85",85,1,0.7764,0.257
"86",86,1,0.7748,0.3147
"87",87,1,0.8004,0.2284
"88",88,1,0.7872,0.2149
"89",89,1,0.7756,0.2367
"90",90,1,0.7752,0.2392
"91",91,1,0.7796,0.2365
"92",92,1,0.79,0.2732
"93",93,1,0.7896,0.2648
"94",94,1,0.7976,0.2348
"95",95,1,0.7628,0.2211
"96",96,1,0.772,0.2331
"97",97,1,0.7916,0.2813
"98",98,1,0.7876,0.2701
"99",99,1,0.7664,0.2193
"100",100,1,0.7736,0.2484
